model,target,logloss,brier,ece,prauc,rmse,mae,crps,seed
M_S,wicket,0.2738297181853104,0.07211377675145052,0.0028207110189930004,0.09043688312794021,,,,0
M_SB,wicket,0.27416382435264064,0.07214630251653417,0.005032108595116581,0.08896149193454236,,,,0
M_SW,wicket,0.273592957292075,0.07209001466932777,0.0022628345152396027,0.08933273923180478,,,,0
M_SBW,wicket,0.2741637678882162,0.07216122272135689,0.0023757235678946525,0.08564100745438885,,,,0
M_SBW+P,wicket,0.27418902120654814,0.07215168652137585,0.0019084274525697248,0.08743393154633314,,,,0
M_SBW+P+H,wicket,0.2740242285698863,0.07213112195589948,0.001951264250946137,0.08747860708018709,,,,0
M0,wicket,0.27484118906910027,0.07225243772440977,0.0,0.07839881134466635,,,,0
M_S,runs,,,,,1.6874825098451447,1.2553420146853873,,0
M_SB,runs,,,,,1.6927939478564782,1.2450690823280979,,0
M_SW,runs,,,,,1.6901965994306574,1.2462060624439444,,0
M_SBW,runs,,,,,1.6923996107877735,1.2412561891897895,,0
M_SBW+P,runs,,,,,1.6917063350386525,1.2399510807345278,,0
M_SBW+P+H,runs,,,,,1.6852059909388006,1.2328772690051464,,0
M_mult,runs,,,,,1.6904005241337463,1.238138735563168,0.8158133119726887,0
M0,runs,,,,,1.728349846892752,1.2911701249593046,,0
M_S,wicket,0.2737559434388711,0.07209697369033942,0.002760611850108563,0.09009182924632261,,,,1
M_SB,wicket,0.27402252743045635,0.07213827982000995,0.00227889660232914,0.08777066884702699,,,,1
M_SW,wicket,0.27405372172162135,0.07213978174714676,0.001576169270207525,0.08733844047296024,,,,1
M_SBW,wicket,0.27419353654758,0.07216281407325666,0.003253579281949962,0.08517140180908196,,,,1
M_SBW+P,wicket,0.27433391453000455,0.0721841434538872,0.002201469153355845,0.08415387660168541,,,,1
M_SBW+P+H,wicket,0.274114390286665,0.07214432060700766,0.001598181215698879,0.08715833534835611,,,,1
M0,wicket,0.27484118906910027,0.07225243772440977,0.0,0.07839881134466635,,,,1
M_S,runs,,,,,1.6877147952134925,1.255385359129712,,1
M_SB,runs,,,,,1.691774074994034,1.2437999126135004,,1
M_SW,runs,,,,,1.6900280601887885,1.246445624978865,,1
M_SBW,runs,,,,,1.6912232214309733,1.240514616564664,,1
M_SBW+P,runs,,,,,1.6923810814029747,1.240296716879291,,1
M_SBW+P+H,runs,,,,,1.6894021186367125,1.2375519810900735,,1
M_mult,runs,,,,,1.6903040850544415,1.237897380628914,0.8158555233137553,1
M0,runs,,,,,1.728349846892752,1.2911701249593046,,1
M_S,wicket,0.27375277000761705,0.07210185472666619,0.0030459530509725154,0.09127590985865312,,,,2
